ARK	200	214	214$c	700	300$a
ark:/12148/cb46958285k	 $a La dame blanche $b Texte imprimé $f Denis Zott	 $a Paris $c Hugo poche $d DL 2022¤ $a impr. en Espagne	Hugo poche	 $3 17057813 $o ISNI0000000459660839 $a Zott $b Denis $4 070	
ark:/12148/cb469969250	 $a Aux Aresquiers $b Texte imprimé $f Éric Sautou	 $a Nice $c Éditions Unes $d DL 2022¤ $a 80-Abbeville $c Impr. F. Paillart	Éditions Unes¤Impr. F. Paillart	 $3 12106525 $o ISNI000000007830913X $a Sautou $b Éric $f 1962-.... $4 070	
ark:/12148/cb46950065g	 $a Naturalia $b Texte imprimé $e vente, Paris, 13 octobre 2020 $f Binoche et Giquello	 $a Paris $c Binoche et Giquello $d [2020]	Binoche et Giquello		
ark:/12148/cb46950225s	 $a Bijoux & montres de collection $b Texte imprimé $e vente, Paris, 6 juillet 2021 $f Maison R & C	 $a Paris $c Maison R & C $d [2021]	Maison R & C		
ark:/12148/cb46950035j	 $a Céramiques européennes $b Texte imprimé $e porcelaines étrangères, porcelaines françaises, faïences étrangères, faïences françaises $e vente, Paris, 25 novembre 2019 $f Pescheteau-Badin	 $a Paris $c Pescheteau-Badin $d [2019]	Pescheteau-Badin		
ark:/12148/cb46950285n	 $a Jouets de collection, de 1850 à 1970 $b Texte imprimé $e vente, Chartres, 14 novembre 2020 $f Ivoire Chartres	 $a Chartres $c Galerie de Chartres $d [2020]	Galerie de Chartres		
ark:/12148/cb46950255q	 $a Automates, musique mécanique, phonographes, arts du spectacle et forain $b Texte imprimé $e vente, Chartres, 6 juin 2021 $f Ivoire Chartres	 $a Chartres $c Galerie de Chartres $d [2021]	Galerie de Chartres		
ark:/12148/cb469818855	 $a Fou de bassin $h 2 $i Promenades, rêveries, bains de mer et quelques exercices de style $b Texte imprimé $f Christian Moguérou	 $a Paris $c ErickBonnier $d DL 2021¤ $a 52-Langres $c la Manufacture impr.	ErickBonnier¤la Manufacture impr.	 $3 17135091 $o ISNI0000000460791377 $a Moguérou $b Christian $f 1968-.... $4 070	
ark:/12148/cb469816352	 $a Les enfants de la mine $b Texte imprimé $f Lucien Gratté	 $a [Saint-Ferréol] $c Société d'histoire de Revel Saint-Ferréol $d DL 2021¤ $a 33-Bruges $c Aquiprint	Société d'histoire de Revel Saint-Ferréol¤Aquiprint	 $3 12017290 $o ISNI000000004092310X $a Gratté $b Lucien $4 070	
ark:/12148/cb46945585g	 $a La place de l'Ancien Testament dans la formation chrétienne $b Texte imprimé $f archimandrite Élie	 $a Terrrasson-Lavilledieu $c Monastère de la Transfiguration $d 2021¤ $a impr. en Pologne	Monastère de la Transfiguration	 $3 16941769 $o ISNI0000000444716609 $a Élie $f 1947-.... $c archimandrite $4 070	
ark:/12148/cb469453252	 $a Marcel Van, le don de soi qui guérit $b Texte imprimé $f Joël Pralong	 $a Versailles $c Amis de Van éditions $d impr. 2021¤ $a 21-Flavigny-sur-Ozerain $c Impr. Traditions monastiques	Amis de Van éditions¤Impr. Traditions monastiques	 $3 15900180 $o ISNI0000000054894418 $a Pralong $b Joël $f 1956-.... $4 070	
ark:/12148/cb469437052	 $a Invitée surprise $b Texte imprimé $f Christian Bulting $g collage couverture et pages intérieures, Catherine Drouet	 $a Châteauroux-les-Alpes $c Gros textes $d DL 2021¤ $a 05-Châteauroux-les-Alpes $c Impr. Gros textes	Gros textes¤Impr. Gros textes	 $3 11894515 $o ISNI0000000000965583 $a Bulting $b Christian $f 1953-.... $4 070	
ark:/12148/cb46983875b	 $a Monsieur Edgar et les impatients $b Texte imprimé $f Coralie Caujolle	 $a Paris $c Roman Eyrolles $d DL 2022¤ $a 61-Lonrai $c Normandie roto impr.	Roman Eyrolles¤Normandie roto impr.	 $3 18028864 $o ISNI0000000507807306 $a Caujolle $b Coralie $4 070	
ark:/12148/cb46939715m	 $a Radio Prague $b Texte imprimé $e chronique d'une adolescence qui s'achève le 21 août 1968 $f Jean-Louis Rinieri	 $a [Paris] $c Éditions Maïa $d DL 2018	Éditions Maïa	 $3 17155021 $o ISNI000000050775606X $a Rinieri $b Jean-Louis $f 1949-.... $4 070	
ark:/12148/cb46962435b	 $a Les nouvelles lettres-poèmes de Marie $b Texte imprimé $f Marie Desmaretz	 $a Saint-Jean-des-Mauvrets $c Éditions du Petit pavé $d DL 2022¤ $a 49-Brissac-Loire-Aubance $c Impr. la Botellerie	Éditions du Petit pavé¤Impr. la Botellerie	 $3 14480646 $o ISNI0000000008870909 $a Desmaretz $b Marie $f 1949-.... $4 070	
ark:/12148/cb46974465z	 $a Étrangère aux rêves $b Texte imprimé $e fiction poétique $f Emmanuelle Julien $g dessins de Emmanuelle Julien	 $a [Rennes] $c Édition Maison $d 2022	Édition Maison	 $3 18025170 $o ISNI0000000507729520 $a Julien $b Emmanuelle $f 1968-.... $4 070	
ark:/12148/cb46971755r	 $a Les meilleures recettes de la cuisine réunionnaise $b Texte imprimé $e 40 recettes pour cuisiner créole	 $a [Saint-Denis (Réunion)] $c Orphie $d DL 2020¤ $a impr. en Slovaquie	Orphie		
ark:/12148/cb469546951	 $a Il y a un pays $b Texte imprimé $e et autres contes $f Manuel Anceau $g dessins d'Ève Mairot	 $a Paris $c Ab irato éditions $d DL 2021¤ $a Paris $c Impr. Le Révérend	Ab irato éditions¤Impr. Le Révérend	 $3 12522151 $o ISNI000000000038966X $a Anceau $b Manuel $f 1970-.... $4 070	
ark:/12148/cb46993965h	 $a Entre deux âmes $b Texte imprimé $f Lydasa...	 $a La Rochelle $c Évidence éditions $d DL 2022¤ $a 59-Linselles $c Impr. Sobook	Évidence éditions¤Impr. Sobook	 $3 17987883 $o ISNI0000000506795921 $a Lydasa $4 070	
ark:/12148/cb469645055	 $a Poil à gratter au paprika $b Texte imprimé $f Bertschy	 $a Marcinelle $a [Paris] $c Dupuis $d DL 2022¤ $a impr. en belgique	Dupuis	 $3 14467295 $o ISNI0000000072503927 $a Bertschy $b Christophe $f 1970-.... $4 070	
ark:/12148/cb469402456	 $a Tensions $b Texte imprimé $f Loiki Nihon, Shaos	 $a Cachan $c Tartamudo $d DL 2021¤ $a Paris $c Impr. Pulsio	Tartamudo¤Impr. Pulsio	 $3 17818652 $o ISNI0000000476639417 $a Nihon $b Loiki $f 1986-.... $4 070	
ark:/12148/cb469737150	 $a Cérémonies perverses $b Texte imprimé $f Jean-Charles Rhamov	 $a Paris $c Média 1000 $d DL 2022¤ $a 58-Clamecy $c Impr. Laballery	Média 1000¤Impr. Laballery	 $3 15976933 $o ISNI0000000056836676 $a Rhamov $b Jean-Charles $4 070	
ark:/12148/cb469689355	 $a La solitude des grandes villes $b Texte imprimé $f Pauline Perrier	 $a Paris $c Hugo roman $d DL 2022¤ $a impr. en Espagne	Hugo roman	 $3 18014707 $o ISNI0000000507141989 $a Perrier $b Pauline $f 1995-.... $4 070	
ark:/12148/cb469948257	 $a L'indicible $b Texte imprimé $e la vie s'invente au féminin $f Alain Fleitour...	 $a Paris $c Éditions les Poètes  français $d DL 2021¤ $a 64-Orthez $c Impr. ICN	Éditions les Poètes  français¤Impr. ICN	 $3 12606040 $o ISNI0000000479733089 $a Fleitour $b Alain $f 1948-.... $4 070	
ark:/12148/cb46994905w	 $a L'étoile ammonite $b Texte imprimé $a suivi de Quelques bribes $f Georges Meckler $g préface de Jean-Noël Cordier	 $a Paris $c Éditions les Poètes français $d DL 2021¤ $a 64-Orthez $c Impr. ICN	Éditions les Poètes français¤Impr. ICN	 $3 13208169 $o ISNI0000000001643965 $a Meckler $b Georges $f 1937-.... $4 070	
ark:/12148/cb46950315r	 $a Chemin de fer, écartements 0, I et II $b Texte imprimé $e vente, Chartres, 25 avril 2021 $f Ivoire Chartres	 $a Chartres $c Galerie de Chartres $d [2021]	Galerie de Chartres		
ark:/12148/cb46950245d	 $a Tableaux anciens & modernes, argenterie, céramique, art d'Asie, objets d'art, mobilier, tapis, tapisserie $b Texte imprimé $e vente, Paris, 16 octobre 2020 $f Damien Libert	 $a Paris $c Damien Libert $d [2020]	Damien Libert		
ark:/12148/cb469898555	 $a Monochrome $b Texte imprimé $e nouvelles $f Olivier Collin Dufresne	 $a Sainte-Marie (La Réunion) $c les Éditions du Chat bleu $d 2020¤ $a 33-Bruges $c Aquiprint	les Éditions du Chat bleu¤Aquiprint	 $3 17759869 $o ISNI0000000468714528 $a Collin Dufresne $b Olivier $f 1963-.... $4 070	
ark:/12148/cb470024450	 $a Mon livre de bain $b Texte imprimé $e les véhicules	 $a Anvers $c Ballon¤ $d C 2022¤ $a impr. en Chine	Ballon		 $a Diffusé en France¤ $a Livre de bain
ark:/12148/cb47075525t	 $a Hors normes ? $b Texte imprimé $e quand la différence est un atout $f Craig Groeschel	 $a Romanel-sur-Lausanne (Suisse) $c Éditions Ourania $d DL 2022¤ $a impr. en Bulgarie	Éditions Ourania	 $3 17012233 $o ISNI0000000374561188 $a Groeschel $b Craig $f 1967-.... $4 070	 $a Diffusé en France
ark:/12148/cb47014285c	 $a L'exigence de la chair $b Texte imprimé $e poésie $f Nathalie Swan	 $a [Clichy] $c Éditions de Corlevour $d 2022¤ $a impr. en Italie	Éditions de Corlevour	 $3 18033049 $o ISNI0000000508165595 $a Swan $b Nathalie $4 070	
ark:/12148/cb47007375v	 $a Kramé $b Texte imprimé $f Yvan Ollive	 $a Craponne $c Éditions les Passionnés de bouquins $d 2021¤ $a 01-Péronnas $c SEPEC numérique	Éditions les Passionnés de bouquins¤SEPEC numérique	 $3 17951336 $o ISNI0000000502712068 $a Ollive $b Yvan $f 1964-.... $4 070	
ark:/12148/cb47038765h	 $a Sagesse de la Chine ancienne $b Texte imprimé	 $a Londres $c Helen Exley¤ $d C 2022¤ $a impr. en Chine	Helen Exley		 $a Diffusé en France¤ $a Trad. du chinois
ark:/12148/cb47030435t	 $a Blue öyster cult $b Texte imprimé	 $a Vanves $c Hachette $d DL 2022¤ $a impr. en Espagne	Hachette		 $a Discogr. p. 42-43
ark:/12148/cb46953256s	 $a Le prédateur de l'aube $b Texte imprimé $e Vannes $f Guénolé Troudet	 $a [Sables-d'Or-les-Pins] $c Ouest & cie $d DL 2022¤ $a 22-Plérin $c Impr. Roudenngrafik	Ouest & cie¤Impr. Roudenngrafik	 $3 14627186 $o ISNI0000000001140241 $a Troudet $b Guénolé $f 1966-.... $4 070	 $a Le dos porte en plus : 103
ark:/12148/cb46988596p	 $a Le livre parfait $b Texte imprimé $f P.-A. Francioso	 $a Eth $c Airvey éditions $d DL 2021¤ $a 59-Linselles $c Impr. Sobook	Airvey éditions¤Impr. Sobook	 $3 16173636 $o ISNI0000000075703035 $a Francioso $b Pierre-Arnaud $f 1987-.... $4 070	
ark:/12148/cb469953462	 $a Sans la peau $b Texte imprimé $e thriller $f Steve Laflamme	 $a Montréal (Québec) $c les Éditions de l'Homme $d DL 2021¤ $a [Ivry-sur-Seine] $c Interforum editis¤ $a impr. au Canada	les Éditions de l'Homme¤Interforum editis	 $3 17838170 $a Laflamme $b Steve $f 1974-.... $4 070	 $a Bibliogr. p. 347-348
ark:/12148/cb469952265	 $a Friches $b Texte imprimé $f Cossic	 $a Cordes-sur-Ciel $c Rafael de Surtis éditions $d DL 2022¤ $a 81-Cordes-sur-Ciel $c Impr. Rafael de Surtis	Rafael de Surtis éditions¤Impr. Rafael de Surtis	 $3 11897781 $o ISNI0000000055093508 $a Cossic $b Yves $f 1943-.... $4 070	
ark:/12148/cb46995276q	 $a Sentir $b Texte imprimé $f Éric Chassefière	 $a Cordes-sur-Ciel $c Rafael de Surtis éditions $d DL 2021¤ $a 81-Cordes-sur-Ciel $c Impr. Rafael de Surtis	Rafael de Surtis éditions¤Impr. Rafael de Surtis	 $3 12224323 $o ISNI0000000381642664 $a Chassefière $b Éric $f 1956-.... $4 070	
ark:/12148/cb469420663	 $a En mémoire des frères Bonnafous de Sagnens, commune de Lacaune $b Texte imprimé $e morts en déportation durant la Seconde guerre mondiale $f André Cabrol	 $a Nages $c CRPR, Centre de recherches du patrimoine de Rieumontagné $d DL 2021¤ $a 81-Nages $c Impr. CRPR	CRPR, Centre de recherches du patrimoine de Rieumontagné¤Impr. CRPR	 $3 17919495 $a Cabrol $b André $f 1950-.... $4 070	 $a En appendice, choix de documents
ark:/12148/cb469418662	 $a Onslaught $h Deuxième partie $b Texte imprimé $f Jeph Loeb, Ian Churchill, Peter David... [et al.]	 $a Vanves $c Hachette collections $d DL 2021¤ $a impr. en Pologne	Hachette collections		 $a Trad. de l'anglais¤ $a Notice réd. d'après la couv.
ark:/12148/cb469932062	 $a Sorcidonie et les magipotirons $b Texte imprimé $f Nora Thullin, Ana Duna	 $a Paris $c Fleurus $d DL 2021¤ $a impr. en Roumanie	Fleurus	 $3 16821304 $o ISNI0000000503356034 $a Thullin $b Nora $4 070	
ark:/12148/cb46950146g	 $a Arts du XXe siècle $b Texte imprimé $e vente, Paris, 27 mai 2021 $f Binoche et Giquello	 $a Paris $c Binoche et Giquello $d [2021]	Binoche et Giquello		
ark:/12148/cb46950056h	 $a Art moderne & contemporain, design, bijoux, objets d'art & d'ameublement, tableaux anciens $b Texte imprimé $e vente, Paris, 9 novembre 2021 $f Nouvelle étude	 $a Paris $c Nouvelle étude $d [2021]	Nouvelle étude		
ark:/12148/cb46950126v	 $a Arts d'Afrique, d'Amérique et d'Océanie $b Texte imprimé $e vente, Paris, 29 juin 2021 $f Binoche et Giquello	 $a Paris $c Binoche et Giquello $d [2021]	Binoche et Giquello		
ark:/12148/cb469501365	 $a Art moderne & contemporain $b Texte imprimé $e vente, Paris, 6 octobre 2020 $f Blanchet & associés	 $a Paris $c Blanchet & associés $d [2020]	Blanchet & associés		
ark:/12148/cb469854762	 $a Contrecoeur $b Texte imprimé $e chroniques d'une France sans lettres $f Pierre Mari	 $a Paris $c la Nouvelle librairie éditions $d DL 2021¤ $a 93-La Courneuve $c Isiprint	la Nouvelle librairie éditions¤Isiprint	 $3 12073698 $o ISNI0000000066435606 $a Mari $b Pierre $f 1956-.... $4 070	
ark:/12148/cb46958726f	 $a Dans les griffes du mal $b Texte imprimé $f Claudie J. Martin	 $a Morhange $c SK éditions $d DL 2021¤ $a 78-Maurepas $c Impr. Lightning source	SK éditions¤Impr. Lightning source	 $3 17841793 $a Martin $b Claudie J. $4 070	
ark:/12148/cb46976736p	 $a Chroniques du clair de lune ou de l'autre $b Texte imprimé $f texte et dessins, Jean-Claude Lucazeau	 $a Saintes $c Koikalit-Chemins de tr@verse $d 2022¤ $a impr. en Bulgarie	Koikalit-Chemins de tr@verse	 $3 14648899 $o ISNI0000000003056094 $a Lucazeau $b Jean-Claude $f 1940-2017 $4 070	
ark:/12148/cb46976096m	 $a Koumba, le petite manicou $b Texte imprimé $f Patricia Marcelin $g illustrations de José Gladone	 $a Gourbeyre (Guadeloupe) $a Corbeil-Essonnes $c Éditions Nestor $d DL 2022	Éditions Nestor	 $3 17704325 $o ISNI0000000464199549 $a Marcelin $b Patricia $f 1962-.... $4 070	
ark:/12148/cb46966746s	 $a Social and humanities science $b Texte imprimé $e research, theory $f editors, asst. prof. Dr Şükrü Ünar, Dr Senem Karagöz	 $a Lyon $c Livre de Lyon $d 2021	Livre de Lyon		
ark:/12148/cb46998806x	 $a Le silence des pins $b Texte imprimé $e roman $f Philippe Lescarret	 $a Morlaàs $c Cairn $d DL 2022¤ $a 31-Villematier $c GN impr.	Cairn¤GN impr.	 $3 17077974 $o ISNI0000000459743837 $a Lescarret $b Philippe $f 1971-.... $4 070	
ark:/12148/cb46970056x	 $a Les racines des ombres $b Texte imprimé $f François Rabes	 $a Paris $c Hugo poche $d DL 2022¤ $a impr. en Espagne	Hugo poche	 $3 14130451 $o ISNI0000000087439411 $a Rabes $b François $4 070	
ark:/12148/cb469700667	 $a Jonas $b Texte imprimé $f Lily Arcoeur	 $a Paris $c Hugo poche $d DL 2022¤ $a impr. en Espagne	Hugo poche	 $3 17970868 $o ISNI0000000503825494 $a Arcoeur $b Lily $4 070	
ark:/12148/cb47009046x	 $a Into the deep $b Texte imprimé $f Sophie Griselle	 $a La Crèche $c SNAG $d DL 2022¤ $a 27-Mesnil-sur l'Estrée $c Impr. CPI Firmin Didot	SNAG¤Impr. CPI Firmin Didot	 $3 17002021 $a Griselle $b Sophie $f 1994-.... $4 070	
ark:/12148/cb47012016h	 $a Nos déferlantes $b Texte imprimé $f Agnès Rostoker	 $a Neuilly $c Atlande $d DL 2022¤ $a 31-Bruguières $c Evoluprint	Atlande¤Evoluprint	 $3 18033860 $a Rostoker $b Agnès $f 1967-.... $4 070	
ark:/12148/cb47052306v	 $a Pearl Jam $b Texte imprimé	 $a Vanves $c Hachette $d DL 2022¤ $a impr. en Espagne	Hachette		 $a Discogr. p. 42-43
ark:/12148/cb47028286w	 $a Souvenirs sur Nestor Makhno $b Texte imprimé $f Ida Mett	 $a Paris $c Éditions Allia $d 2022¤ $a impr. en Union européenne	Éditions Allia	 $3 12625369 $o ISNI0000000118730966 $a Mett $b Ida $f 1901-1973 $4 070	
ark:/12148/cb47017616c	 $a Insolites chroniques de Creuse $b Texte imprimé $f Bernard Blot $g [illustrations], Alain Freytet	 $a Limoges $c les Ardents éditeurs $d DL 2022¤ $a 19-Tulle $c Maugein impr.	les Ardents éditeurs¤Maugein impr.	 $3 11892429 $o ISNI0000000021612445 $a Blot $b Bernard $f 1932-.... $4 070	
ark:/12148/cb47001116b	 $a La crevette $b Texte imprimé $f Jacques Thorel $g préface, Patrick Cadour	 $a Paris $c les Éditions de l'Épure $d DL 2022¤ $a Paris $c Presses du Louvre	les Éditions de l'Épure¤Presses du Louvre	 $3 12504385 $o ISNI0000000000490944 $a Thorel $b Jacques $4 070	
ark:/12148/cb47068776s	 $a Sous le regard du Seigneur $h Livret n° 1 $i Jeux codés bibliques, anagrammes, devinettes, autres jeux $b Texte imprimé $f Aline Ramassamy	 $a Saint-Denis (La Réunion) $c El-Shaddaï éditions $d 2021	El-Shaddaï éditions	 $3 14604864 $o ISNI0000000001226117 $a Ramassamy $b Aline $f 1946-.... $4 070	
ark:/12148/cb47059776t	 $a Pré-cinéma, cinéma, appareils photographiques anciens et modernes $b Texte imprimé $e vente, Chartres, 19 mars 2022 $f Ivoire Chartres	 $a Chartres $c Galerie de Chartres $d [2022]	Galerie de Chartres		
ark:/12148/cb47041376k	 $a Le Christ dans ses mystères $b Texte imprimé $f dom Columba Marmion	 $a [Le Coudray-Macouard] $c Saint-Léger éditions $d DL 2022¤ $a 93-La Courneuve $c Isiprint	Saint-Léger éditions¤Isiprint	 $3 12266974 $o ISNI0000000081510766 $a Marmion $b Columba $f 1858-1923 $4 070	
ark:/12148/cb470047261	 $a Le Chien $b Texte imprimé $e roman $f Akiz $g traduit de l'allemand par Brice Germain	 $a [Paris] $c Flammarion $d DL 2021	Flammarion	 $3 18033691 $a Akiz $f 1989-.... $4 070	
ark:/12148/cb47094656j	 $a Les légions romaines $b Texte imprimé $f Benoît Rondeau	 $a Louviers $c Ysec éditions $d impr. 2022¤ $a impr. en Union européenne	Ysec éditions	 $3 16676234 $o ISNI0000000403560441 $a Rondeau $b Benoît $f 1973-.... $4 070	 $a Lexique
ark:/12148/cb46962117k	 $a Onslaught $h Troisième partie $b Texte imprimé $f Terry Kavanagh, Jeph Loeb, John Ostrander... [et al.]	 $a Vanves $c Hachette collections $d DL 2021¤ $a impr. en Pologne	Hachette collections		 $a Trad. de l'anglais¤ $a Notice réd. d'après la couv.
ark:/12148/cb469448674	 $a Crunchy $b Texte imprimé $e inspirée d'une histoire vraie $f texte et illustrations de Mélina Robin	 $a Gourbeyre $a Corbeil-Essonnes $c les Éditions Nestor $d DL 2021¤ $a 971-Gourbeyre $c Impr. Nestor	les Éditions Nestor¤Impr. Nestor	 $3 18019724 $o ISNI0000000507218720 $a Robin $b Mélina $4 070	
ark:/12148/cb469446171	 $a L'Épiphanie en acte dans nos vies $b Texte imprimé $e témoignages $f Yolande Defrel Vadimon	 $a Gourbeyre $c les Éditions Nestor $d DL 2021¤ $a 971-Gourbeyre $c Impr. Nestor	les Éditions Nestor¤Impr. Nestor	 $3 17994802 $o ISNI0000000506041396 $a Defrel Vadimon $b Yolande $4 070	
ark:/12148/cb46958717g	 $a Un Noël pas comme les autres $b Texte imprimé $f Angie L. Deryckere	 $a Morhange $c SK éditions $d DL 2021¤ $a 78-Maurepas $c Impr. Lightning source	SK éditions¤Impr. Lightning source	 $3 16535534 $o ISNI0000000355909214 $a Deryckere $b Angie L. $f 1978-.... $4 070	
ark:/12148/cb46950267q	 $a Photographies anciennes et modernes $b Texte imprimé $e vente, Chartres, 5 novembre 2021 $f Ivoire Chartres	 $a Chartres $c Galerie de Chartres $d [2021]	Galerie de Chartres		
ark:/12148/cb46950027x	 $a Autographes, manuscrits, incunable et livres du XVIe au XIXe siècle $b Texte imprimé $e vente, Paris, 23, 24, 25 juin 2021 $f Delon-Hoebanx	 $a Paris $c Delon-Hoebanx $d [2021]	Delon-Hoebanx		
ark:/12148/cb46976477f	 $a L'ivresse de l'eau $b Texte imprimé $a suivi par De l'art d'être un souillon $f deux novellas de Charles Duttine	 $a [Chaumont] $c Éditions Douro¤ $d C 2021¤ $a 78-Maurepas $c Impr. Lightning source	Éditions Douro¤Impr. Lightning source	 $3 17023941 $o ISNI0000000458825734 $a Duttine $b Charles $f 1951-.... $4 070	
ark:/12148/cb46959527g	 $a Brocards $b Texte imprimé $f René Pommier	 $a Paris $c Éditions Kimé $d impr. 2021¤ $a 21-Beaune $c Impr. Créaprojet	Éditions Kimé¤Impr. Créaprojet	 $3 11920216 $o ISNI0000000108004952 $a Pommier $b René $f 1933-.... $4 070	
ark:/12148/cb469857072	 $a Wedding dress for sale $b Texte imprimé $f Ludivine Pepe	 $a Londres $c Cherry publishing $d DL 2022	Cherry publishing	 $3 16992066 $o ISNI000000045880401X $a Pepe $b Ludivine $f 1987-.... $4 070	 $a Diffusé en France
ark:/12148/cb46967667q	 $a Mon âme clouée s'évase $b Texte imprimé $f Christine Veauvy	 $a Pantin $c les Éditions Ballade à la lune $d DL 2021¤ $a impr. en Allemagne	les Éditions Ballade à la lune	 $3 18022614 $o ISNI0000000507281084 $a Veauvy $b Christine $4 070	
ark:/12148/cb46967187z	 $a Akli $b Texte imprimé $e un Berbère dans la tourmente $f Adel Monchaoui, Régine Laprade	 $a [Chaumont] $c Éditions Douro¤ $d C 2021¤ $a 78-Maurepas $c Impr. Lightning source	Éditions Douro¤Impr. Lightning source	 $3 18023860 $o ISNI0000000507306755 $a Monchaoui $b Adel $f 1947-.... $4 070	 $a Bibliogr. p. 220-221
ark:/12148/cb46967117s	 $a La seigneurie du grand Charnay $b Texte imprimé $f Martine Arnault	 $a [Vatan] $c Romain Guignard association $d 2010¤ $a 36-Vatan $c Impr. Romain Guignard association	Romain Guignard association¤Impr. Romain Guignard association	 $3 17999371 $o ISNI0000000506326869 $a Arnault $b Martine $f 1953-.... $4 070	 $a Bibliogr. p. 142-143. Notes bibliogr.
ark:/12148/cb469697873	 $a Les ombres parmi nous $b Texte imprimé $f Clara Le Corre	 $a Paris $c Nisha et caetera - les Éditions de l'Opportun $d DL 2022¤ $a 95-Domont $c Dupliprint	Nisha et caetera - les Éditions de l'Opportun¤Dupliprint	 $3 17012974 $a Le Corre $b Clara $4 070	
ark:/12148/cb46978927r	 $a Le feu dans le ciel $b Texte imprimé $f Anne Robillard	 $a Neuilly-sur-Seine $c Michel Lafon poche $d DL 2022¤ $a impr. en Espagne	Michel Lafon poche	 $3 14484442 $o ISNI0000000121390042 $a Robillard $b Anne $f 1955-.... $4 070	
ark:/12148/cb46978987m	 $a La princesse rebelle $b Texte imprimé $f Anne Robillard	 $a Neuilly-sur-Seine $c Michel Lafon poche $d DL 2022¤ $a impr. en Espagne	Michel Lafon poche	 $3 14484442 $o ISNI0000000121390042 $a Robillard $b Anne $f 1955-.... $4 070	
ark:/12148/cb46987587g	 $a Tout pour la famille $b Texte imprimé $f scénario, Cullen Bunn, Mary H. K. Choi, James Asmus... [et al.] $g dessin, Dominik Stanton, Irene Strychalski, Darnell Johnson... [et al.]	 $a Vanves $c Hachette collections $d DL 2021¤ $a impr. en Espagne	Hachette collections		 $a Trad. de l'anglais
ark:/12148/cb469879778	 $a Le gang du biberon $b Texte imprimé $e roman $f Philippe Ségur	 $a Paris $c Buchet-Chastel $d DL 2022¤ $a 53-Mayenne $c Impr. Floch	Buchet-Chastel¤Impr. Floch	 $3 12321345 $o ISNI0000000058159795 $a Ségur $b Philippe $f 1964-.... $4 070	
ark:/12148/cb46988957w	 $a La pierre de soleil $b Texte imprimé $f Benoît Grelaud $g illustrations, Sylvain Even	 $a Paris $c Fleurus $d DL 2021¤ $a impr. en Italie	Fleurus	 $3 16245748 $o ISNI0000000410261562 $a Grelaud $b Benoît $f 1968-.... $4 070	 $a Lexique
ark:/12148/cb469880473	 $a Erebos $b Texte imprimé $f Ursula Poznanski $g bearbeitet von Iris Felter	 $a Stuttgart $c Ernst Klett Sprachen¤ $d C 2021¤ $a impr. en Allemagne	Ernst Klett Sprachen	 $3 16655780 $o ISNI0000000025039789 $a Poznanski $b Ursula $f 1968-.... $4 070	 $a Diffusé en France
ark:/12148/cb46991817w	 $a Lacs sous la langue $b Texte imprimé $f Marie Ginet $g peintures, Yannick Bonvin Rey	 $a [Montélimar] $c Voix d'encre $d DL 2020¤ $a impr. en Italie	Voix d'encre	 $3 16755048 $a Ginet $b Marie $f 1970-.... $4 070	
ark:/12148/cb469916776	 $a Les arbres sont aussi du silence $b Texte imprimé $f James Sacré $g encres de Chine, Raphaël Segura	 $a [Montélimar] $c Voix d'encre $d DL 2021¤ $a impr. en Italie	Voix d'encre	 $3 11923238 $o ISNI0000000121481788 $a Sacré $b James $f 1939-.... $4 070	
ark:/12148/cb469861576	 $a Hugo, le cheval gris $b Texte imprimé $f Harmony Bulin, Gérard Bulin-Xavier	 $a Baie-Mahault $c Nèg Mawon¤ $d C 2021	Nèg Mawon	 $3 18034163 $a Bulin $b Harmony $4 070	
ark:/12148/cb46982297r	 $a Filigranes $b Texte imprimé $e anthologie, 1962-2022 $f Claude-André Donadello	 $a Montluçon $c Éditions le Monde en quatre $d DL 2022¤ $a 03-Montluçon $c Impr. des Marais	Éditions le Monde en quatre¤Impr. des Marais	 $3 11900375 $o ISNI000000002574199X $a Donadello $b Claude $f 1940-.... $4 070	
ark:/12148/cb46948067w	 $a Le blanc de l'hiver $b Texte imprimé $f Nathalie Magrou	 $a Pau $c Éditions Gypaète $d impr. 2021¤ $a impr. en UE	Éditions Gypaète	 $3 13748556 $o ISNI0000000003118689 $a Magrou $b Nathalie $4 070	
ark:/12148/cb46970797f	 $a Portugal, un père et fils $b Texte imprimé $e carnet de voyage $f Jean Azarel & Grand ciel photographies	 $a Nancy $c Tarmac $d DL 2021	Tarmac	 $3 13184428 $o ISNI0000000001514581 $a Azarel $b Jean $f 1954-.... $4 070	
ark:/12148/cb46994677x	 $a Demi-ciel $b Texte imprimé $f Joël Casséus	 $a [Paris] $c le Tripode $d DL 2022¤ $a 14-Condé-sur-Noireau $c Impr. Corlet	le Tripode¤Impr. Corlet	 $3 16570164 $o ISNI0000000114573625 $a Casséus $b Joël $f 1979-.... $4 070	
ark:/12148/cb469654770	 $a À mon ami celui du vent et de l'instant $b Texte imprimé $e recueil de poésie $f Blanche-Marie Votra	 $a [Les Plans-sur-Bex (Suisse)] $a [Paris] $c Parole et silence $d impr. 2022¤ $a 14-Condé-sur-Noireau $c Impr. Rapidbook	Parole et silence¤Impr. Rapidbook	 $3 18024066 $o ISNI0000000507307619 $a Votra $b Blanche-Marie $4 070	
